image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
scheduler-service,1.0.358,tar,7.4.3,7.5.10,HIGH,CVE-2026-29786
scheduler-service,1.0.358,tar,7.4.3,7.5.11,HIGH,CVE-2026-31802
scheduler-service,1.0.358,tar,7.4.3,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
ffcloud-cli,1.0.49,axios,0.21.4,"1.6.0, 0.28.0",MEDIUM,CVE-2023-45857
ffcloud-cli,1.0.49,axios,0.21.4,"1.15.0, 0.31.0",MEDIUM,CVE-2025-62718;CVE-2026-40175
ffcloud-cli,1.0.49,axios,0.21.4,"0.33.0, 1.18.0",MEDIUM,GHSA-7q8q-rj6j-mhjq
ffcloud-cli,1.0.49,axios,0.21.4,"1.18.0, 0.33.0",MEDIUM,GHSA-mmx7-hfxf-jppx
ffcloud-cli,1.0.49,brace-expansion,1.1.11,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
ffcloud-cli,1.0.49,brace-expansion,2.0.1,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
ffcloud-cli,1.0.49,ejs,3.1.6,3.1.10,MEDIUM,CVE-2024-33883
ffcloud-cli,1.0.49,follow-redirects,1.15.2,1.15.4,MEDIUM,CVE-2023-26159
